state,st_percent_city,st_percent_rural,st_percent_suburb,st_percent_town
AK,18.809980806142036,60.46065259117083,2.8790786948176583,17.85028790786948
AL,23.404255319148938,44.48742746615087,17.08575112830432,15.022566086395875
AP,0.0,6.122448979591836,0.0,2.0408163265306123
AR,22.563176895306857,44.494584837545126,11.101083032490974,21.841155234657037
AS,0.0,32.142857142857146,0.0,67.85714285714286
AZ,44.81496543310289,18.584790565270435,23.139487596583976,13.460756405042702
CA,39.767486548808606,11.904304381245195,39.805918524212146,8.52229054573405
CO,34.193888303477344,23.55110642781876,30.76923076923077,11.485774499473129
CT,28.987618353969406,13.255644573925709,53.678077203204666,4.0786598689002185
DC,100.0,0.0,0.0,0.0
DE,17.52136752136752,15.81196581196581,50.427350427350426,16.23931623931624
FL,28.422720072414577,13.07988232631817,51.59538357094365,6.902014030323603
GA,18.733960650128314,31.864841745081268,37.59623609923011,11.804961505560307
GU,0.0,12.195121951219512,0.0,87.8048780487805
HI,23.890784982935152,15.358361774744028,36.86006825938566,23.890784982935152
IA,17.8939617083947,50.07363770250368,8.100147275405007,23.932253313696613
ID,17.678100263852244,39.31398416886543,18.733509234828496,24.274406332453825
IL,23.932637571157496,20.445920303605313,42.125237191650854,13.496204933586336
IN,28.276573787409703,34.726522187822496,21.052631578947366,15.944272445820435
KS,18.811136192626034,45.372460496613996,11.286681715575622,24.52972159518435
KY,18.929254302103253,41.61886551943913,14.085404716379859,25.36647546207776
LA,27.75800711743772,31.672597864768683,24.12811387900356,16.441281138790035
MA,18.346666666666668,11.413333333333334,68.10666666666667,2.1333333333333333
MD,23.38653712699514,16.30811936155448,56.41915336571826,3.8861901457321304
ME,8.360128617363344,65.91639871382637,11.093247588424438,14.630225080385854
MI,22.386784391911135,27.855311876958133,36.4568499003133,13.30105383081743
MN,20.426829268292682,30.259146341463417,27.972560975609756,21.341463414634145
MO,17.78688524590164,40.36885245901639,22.62295081967213,19.221311475409834
MS,10.917431192660551,48.62385321100918,8.715596330275229,31.743119266055047
MT,8.03357314148681,74.58033573141488,1.3189448441247003,16.06714628297362
NC,27.21189591078067,40.63197026022305,19.405204460966544,12.75092936802974
ND,12.82051282051282,66.30036630036629,5.677655677655678,15.2014652014652
NE,23.312331233123313,49.14491449144914,8.1008100810081,19.44194419441944
NH,10.1010101010101,48.08080808080808,26.86868686868687,14.949494949494948
NJ,9.973149213655542,9.090909090909092,78.36593785960875,2.5700038358266206
NM,25.813449023861175,37.20173535791757,10.195227765726681,26.789587852494577
NV,42.89855072463768,18.26086956521739,26.3768115942029,12.46376811594203
NY,44.629287327993424,16.019716574245223,31.731361675908808,7.6196344218525365
OH,22.359396433470508,27.105624142661178,36.515775034293554,14.01920438957476
OK,15.499172642029786,50.85493656922229,12.244897959183673,21.40099282956426
OR,27.359238699444887,27.51784298176051,20.77716098334655,24.345757335448056
PA,19.74543080939948,24.673629242819846,45.72454308093995,9.856396866840731
PR,24.680210684725356,6.922498118886381,63.80737396538751,4.5899172310007526
RI,25.0,12.1875,62.81250000000001,0.0
SC,18.19607843137255,40.3921568627451,28.941176470588236,12.470588235294118
SD,9.673024523160763,73.16076294277929,0.8174386920980926,16.348773841961854
TN,33.97897066961815,34.4770337576093,15.550636413945767,15.993359158826784
TX,37.8509605235381,24.646400675533037,24.699176694110196,12.80346210681866
UT,17.52767527675277,18.173431734317344,51.291512915129154,13.007380073800737
VA,23.959296947271046,30.804810360777058,36.21646623496762,8.741905642923218
VI,0.0,0.0,0.0,100.0
VT,4.777070063694268,70.06369426751591,6.050955414012739,19.10828025477707
WA,30.663430420711972,21.15695792880259,34.101941747572816,14.077669902912621
WI,24.57516339869281,35.59912854030501,20.435729847494553,19.389978213507625
WV,11.895424836601306,50.19607843137255,18.30065359477124,19.607843137254903
WY,14.516129032258066,51.61290322580645,1.6129032258064515,32.25806451612903
